week,agegroup,sex,deaths-involving-covid-19-occurrences,deaths-involving-covid-19-registrations,total-registered-deaths
week-11,35-39,all,0,0,80
week-11,35-39,female,0,0,32
week-11,35-39,male,0,0,48
week-11,40-44,all,1,0,90
week-11,40-44,female,1,0,40
week-11,40-44,male,0,0,50
week-11,45-49,all,0,0,179
week-11,45-49,female,0,0,70
week-11,45-49,male,0,0,109
week-11,50-54,all,0,0,260
week-11,50-54,female,0,0,92
week-11,50-54,male,0,0,168
week-11,55-59,all,1,0,401
week-11,55-59,female,0,0,155
week-11,55-59,male,1,0,246
week-11,60-64,all,4,1,500
week-11,60-64,female,3,0,204
week-11,60-64,male,1,1,296
week-11,65-69,all,5,0,685
week-11,65-69,female,1,0,261
week-11,65-69,male,4,0,424
week-11,70-74,all,6,1,1068
week-11,70-74,female,2,1,443
week-11,70-74,male,4,0,625
week-11,75-79,all,2,2,1366
week-11,75-79,female,1,2,618
week-11,75-79,male,1,0,748
week-11,80-84,all,6,1,1738
week-11,80-84,female,0,0,834
week-11,80-84,male,6,1,904
week-11,85-89,all,8,0,1951
week-11,85-89,female,1,0,1016
week-11,85-89,male,7,0,935
week-11,90+,all,7,0,2483
week-11,90+,female,2,0,1598
week-11,90+,male,5,0,885
week-12,all,all,397,103,10645
week-12,all,female,,,
week-12,all,male,,,
week-12,0-1,all,0,0,44
week-12,0-1,female,0,0,19
week-12,0-1,male,0,0,25
week-12,1-4,all,0,0,2
week-12,1-4,female,0,0,0
week-12,1-4,male,0,0,2
week-12,5-9,all,0,0,6
week-12,5-9,female,0,0,3
week-12,5-9,male,0,0,3
week-12,10-14,all,0,0,4
week-12,10-14,female,0,0,1
week-12,10-14,male,0,0,3
week-12,15-19,all,0,0,15
week-12,15-19,female,0,0,4
week-12,15-19,male,0,0,11
week-12,20-24,all,1,0,22
week-12,20-24,female,1,0,5
week-12,20-24,male,0,0,17
week-12,25-29,all,1,0,31
week-12,25-29,female,1,0,9
week-12,25-29,male,0,0,22
week-12,30-34,all,0,0,41
week-12,30-34,female,0,0,16
week-12,30-34,male,0,0,25
week-12,35-39,all,0,0,66
week-12,35-39,female,0,0,19
week-12,35-39,male,0,0,47
week-12,40-44,all,2,1,100
week-12,40-44,female,1,1,37
week-12,40-44,male,1,0,63
week-12,45-49,all,7,0,160
week-12,45-49,female,5,0,61
week-12,45-49,male,2,0,99
week-12,50-54,all,16,2,245
week-12,50-54,female,8,0,87
week-12,50-54,male,8,2,158
week-12,55-59,all,13,2,390
week-12,55-59,female,5,1,161
week-12,55-59,male,8,1,229
week-12,60-64,all,20,2,469
week-12,60-64,female,9,2,188
week-12,60-64,male,11,0,281
week-12,65-69,all,27,11,686
week-12,65-69,female,11,4,282
week-12,65-69,male,16,7,404
week-12,70-74,all,37,9,1094
week-12,70-74,female,13,3,465
week-12,70-74,male,24,6,629
week-12,75-79,all,47,11,1373
week-12,75-79,female,16,5,610
week-12,75-79,male,31,6,763
week-12,80-84,all,73,20,1694
week-12,80-84,female,33,7,802
week-12,80-84,male,40,13,892
week-12,85-89,all,84,24,1902
week-12,85-89,female,39,8,997
week-12,85-89,male,45,16,905
week-12,90+,all,69,21,2302
week-12,90+,female,36,10,1482
week-12,90+,male,33,11,820
week-13,all,all,1826,539,11141
week-13,all,female,,,
week-13,all,male,,,
week-13,0-1,all,0,0,49
week-13,0-1,female,0,0,22
week-13,0-1,male,0,0,27
week-13,1-4,all,0,0,8
week-13,1-4,female,0,0,5
week-13,1-4,male,0,0,3
week-13,5-9,all,0,0,1
week-13,5-9,female,0,0,0
week-13,5-9,male,0,0,1
week-13,10-14,all,0,0,4
week-13,10-14,female,0,0,3
week-13,10-14,male,0,0,1
week-13,15-19,all,2,0,12
week-13,15-19,female,1,0,4
week-13,15-19,male,1,0,8
week-13,20-24,all,1,0,17
week-13,20-24,female,1,0,6
week-13,20-24,male,0,0,11
week-13,25-29,all,3,1,33
week-13,25-29,female,2,1,11
week-13,25-29,male,1,0,22
week-13,30-34,all,11,4,55
week-13,30-34,female,3,0,15
week-13,30-34,male,8,4,40
week-13,35-39,all,9,3,71
week-13,35-39,female,4,1,31
week-13,35-39,male,5,2,40
week-13,40-44,all,10,0,95
week-13,40-44,female,2,0,30
week-13,40-44,male,8,0,65
week-13,45-49,all,26,8,163
week-13,45-49,female,13,4,66
week-13,45-49,male,13,4,97
week-13,50-54,all,39,9,235
week-13,50-54,female,14,4,89
week-13,50-54,male,25,5,146
week-13,55-59,all,72,16,381
week-13,55-59,female,25,4,146
week-13,55-59,male,47,12,235
week-13,60-64,all,90,30,522
week-13,60-64,female,28,11,236
week-13,60-64,male,62,19,286
week-13,65-69,all,129,42,699
week-13,65-69,female,45,12,276
week-13,65-69,male,84,30,423
week-13,70-74,all,212,57,1106
week-13,70-74,female,74,19,440
week-13,70-74,male,138,38,666
week-13,75-79,all,287,84,1397
week-13,75-79,female,96,21,609
week-13,75-79,male,191,63,788
week-13,80-84,all,342,97,1850
week-13,80-84,female,120,42,845
week-13,80-84,male,222,55,1005
week-13,85-89,all,328,102,2016
week-13,85-89,female,145,43,1032
week-13,85-89,male,183,59,984
week-13,90+,all,265,86,2428
week-13,90+,female,126,44,1545
week-13,90+,male,139,42,883
week-14,all,all,5052,3475,16387
week-14,all,female,,,
week-14,all,male,,,
week-14,0-1,all,0,0,51
week-14,0-1,female,0,0,25
week-14,0-1,male,0,0,26
week-14,1-4,all,0,0,8
week-14,1-4,female,0,0,6
week-14,1-4,male,0,0,2
week-14,5-9,all,0,0,5
week-14,5-9,female,0,0,3
week-14,5-9,male,0,0,2
week-14,10-14,all,0,0,8
week-14,10-14,female,0,0,5
week-14,10-14,male,0,0,3
week-14,15-19,all,3,3,9
week-14,15-19,female,2,2,2
week-14,15-19,male,1,1,7
week-14,20-24,all,5,3,20
week-14,20-24,female,2,3,8
week-14,20-24,male,3,0,12
week-14,25-29,all,5,5,32
week-14,25-29,female,3,3,10
week-14,25-29,male,2,2,22
week-14,30-34,all,12,9,54
week-14,30-34,female,4,3,15
week-14,30-34,male,8,6,39
week-14,35-39,all,14,12,67
week-14,35-39,female,4,5,31
week-14,35-39,male,10,7,36
week-14,40-44,all,28,11,106
week-14,40-44,female,11,4,39
week-14,40-44,male,17,7,67
week-14,45-49,all,69,42,220
week-14,45-49,female,29,24,96
week-14,45-49,male,40,18,124
week-14,50-54,all,94,64,376
week-14,50-54,female,31,21,132
week-14,50-54,male,63,43,244
week-14,55-59,all,196,137,531
week-14,55-59,female,75,51,195
week-14,55-59,male,121,86,336
week-14,60-64,all,273,169,733
week-14,60-64,female,86,51,280
week-14,60-64,male,187,118,453
